	municipio	nome_escola	endereco_escola	numero_endereco	cep	bairro	longitude	latitude
161	sao paulo	annita atalla professora	rua lourenco caetano da silva	18	3227020	jardim avelino	-46,57062912	-23,58786011
162	sao paulo	secundino domingues filho doutor	secundino domingues	136	3223110	jardim independencia	-46,55958176	-23,58864021
163	sao paulo	olga benatti professora	rua ibitirama	1412	3134001	vila bela	-46,57995807	-23,59184297
164	sao paulo	brisabella almeida nobre professora	rua santa genoveva	47	3213050	vila california	-46,56074905	-23,60597992
165	sao paulo	joy arruda doutor	batuns	52	3273410	vila santa clara	-46,56204987	-23,57888985
166	sao paulo	jocelyn pontes gestal prof	pedro goncalves varejao	209	3986170	jardim mimar	-46,52199936	-23,60880089
167	sao paulo	jose heitor carusi professor	roberto ugolini comendador	300	3125010	parque da mooca	-46,58834076	-23,57563972
168	sao paulo	francisco borges vieira doutor	rua paratinquara	67	3209040	vila alpina	-46,55850983	-23,59719086
169	sao paulo	americo de moura professor	rua mendonca corte real	SN	3227110	jardim avelino	-46,57381821	-23,58337975
170	sao paulo	luiza mendes correa souza professora	avenida professor luiz ignacio anhaia mello	5796	3294100	parque sao lucas	-46,54190063	-23,59213066
171	sao paulo	joao firmino de campos	rua visconde de alcantara	350	3205060	vila alpina	-46,56837082	-23,6031208
172	sao paulo	jose chediak	oratorio	2320	3220100	parque sao lucas	-46,54711914	-23,59256935
173	sao paulo	republica do paraguay	rua carlos muller	21	3132060	vila sao mauricio	-46,58378983	-23,58090973
174	sao paulo	carolina augusta da costa galvao professora	rua maria daffre	406	3150020	quinta da paineira	-46,5880394	-23,58493042
175	sao paulo	clemente quaglio professor	manuel onha	234	3192100	vila oratorio	-46,57976151	-23,57258034
176	sao paulo	julieta nogueira rinaldi professora	ielmo marinho	940	3236030	parque independencia	-46,54801941	-23,59975624
177	sao paulo	joaquim braga de paula professor	avenida  do oratorio	4330	3220200	jardim guairaca	-46,53263092	-23,6015892
178	sao paulo	julia macedo pantoja professora	assupa	200	3137050	vila prudente	-46,57653046	-23,5797596
179	sao paulo	norberto mayer filho deputado	manuel luis de vergueiro padre	365	3476000	vila antonieta	-46,51607895	-23,57390976
180	sao paulo	moacyr campos professor	rio das pedras	2022	3452100	jardim aricanduva	-46,50811005	-23,57114029
181	sao paulo	julia amalia azevedo antunes professora	luis pinto	92	3427000	vila carrao	-46,53628922	-23,55410957
182	sao paulo	joao dias da silveira professor	sousa breves	80	3069060	vila zilda	-46,56386948	-23,53513908
183	sao paulo	joao climaco da silva kruse professor	tuiuti	2965	3307005	tatuape	-46,57289886	-23,55139923
184	sao paulo	irene ribeiro professora	rua coronel amaro sobrinho	303	3448120	vila carrao	-46,52236176	-23,55487061
185	sao paulo	alvino bittencourt professor	francisco machado de campos	312	3406040	chacara california	-46,5464592	-23,54120064
186	sao paulo	amelia de araujo dona	vacanga	415	3433025	vila fernandes	-46,53134935	-23,56046628
187	sao paulo	aracy leme da veiga ravache professora	candido mendes de almeida	184	3908290	jardim novo carrao	-46,50743103	-23,5803299
188	sao paulo	benedito estevam dos santos doutor	aguapei	831	3325000	vila santo estevao	-46,5546875	-23,55087662
189	sao paulo	blanca zwicker simoes professora	mario teixeira inspetor	41	3335100	jardim analia franco	-46,56600189	-23,55594063
190	sao paulo	frederico vergueiro steidel	atlantida	8	3421030	vila carrao	-46,54599762	-23,55512428
191	sao paulo	erasmo braga	maria eugenia	190	3081030	tatuape	-46,57382965	-23,53373909
192	sao paulo	congonhas do campo visconde de	tuiuti	2051	3307005	tatuape	-46,57463074	-23,54368973
193	sao paulo	carlos escobar	adelino de almeida castilho	178	3073050	maranhao	-46,55641937	-23,53318024
194	sao paulo	caramuru	rego barros	501	3460000	jardim vila formosa	-46,51810074	-23,56398964
195	sao paulo	paulo novaes de carvalho professor	francisco marengo	475	3313000	tatuape	-46,55889893	-23,54153061
196	sao paulo	pedro arbues coronel	lucinda gomes barreto	605	3440040	vila nova manchester	-46,5404573	-23,54598337
197	sao paulo	salvador rocco professor	renato rinaldi	31	3426000	vila carrao	-46,54563364	-23,54837556
198	sao paulo	joao borges professor	itapura	976	3310000	vila gomes cardim	-46,56600189	-23,54730034
199	sao paulo	irene de lima paiva professora	lutecia	1966	3423000	vila carrao	-46,54087067	-23,56059074
200	sao paulo	jose marques da cruz professor	arace	563	3362050	vila formosa	-46,54230881	-23,56166077
201	sao paulo	benedita ribas f silveira professora	jose tavares de siqueira	198	3085030	parque sao jorge	-46,5680809	-23,53259087
202	sao paulo	almerinda rodrigues mello professora	rua rei alberto da belgica	571	3381000	chacara belenzinho	-46,53411102	-23,5768795
203	sao paulo	antonio candido barone	anga	110	3360000	vila formosa	-46,54896927	-23,57061005
204	sao paulo	ascendino reis professor	tuiuti	2865	3307005	tatuape	-46,57300186	-23,55069923
205	sao paulo	oswaldo catalano	filipe camarao	350	3065000	tatuape	-46,57949829	-23,53829956
206	sao paulo	paulo cavalcanti albuquerque professor	fabio	167	3378060	chacara belenzinho	-46,53960037	-23,57500076
207	sao paulo	orville derby	saigon	55	3360010	vila formosa	-46,54386902	-23,5680294
208	sao paulo	santos amaro da cruz professor	barreira grande	795	3386000	jardim colorado	-46,52710111	-23,58413462
209	sao paulo	pilar garcia vidal dona	agenor caldeira diniz pastor	48	3935080	jardim imperador zona leste	-46,49860001	-23,5848999
210	sao paulo	maria lourdes n albergaria profa	jose mascarenhas	456	3515000	vila matilde	-46,53290176	-23,53930092
211	sao paulo	marisa de mello profa	luis carlos doutor	1400	3505000	vila aricanduva	-46,53789902	-23,53380013
212	sao paulo	olga marinovic doro profa	custodio lobo	29	3525080	jardim maringa	-46,51425934	-23,55250359
213	sao paulo	rita julia de oliveira professora	mirandinha	881	3641000	penha de franca	-46,53556061	-23,53001022
214	sao paulo	santos dumont	oito de setembro	73	3606030	penha de franca	-46,54850006	-23,52397919
215	sao paulo	jose bartocci professor	serapiao sao	396	3664000	vila re	-46,49898911	-23,52753067
216	sao paulo	luiz antonio fragoso prof	antonio estevao de carvalho	1778	3540100	cidade patriarca	-46,50669861	-23,5284996
217	sao paulo	theodomiro emerique professor	uico	533	3621020	vila marieta	-46,52164584	-23,52190028
218	sao paulo	gabriel ortiz professor	amador bueno da veiga	2932	3652000	penha de franca	-46,51789856	-23,52280045
219	sao paulo	jamil pedro sawaya prof	palmeirina	189	3556010	cidade patriarca	-46,5018	-23,5414
220	sao paulo	jose de campos camargo professor	severiano sao	217	3613030	vila santana	-46,53310327	-23,5181716
221	sao paulo	bernardo rodrigues nogueira dom	joao maria ogno dom	481	3530050	vila matilde	-46,5187149	-23,53845024
222	sao paulo	joao maria ogno osb dom	maria carlota	400	3647000	vila esperanca	-46,52848816	-23,52515984
223	sao paulo	zalina rolim dona	luis carlos doutor	740	3505000	vila aricanduva	-46,54410172	-23,53499985
224	sao paulo	esther frankel sampaio	rua tujuba	1475	3610000	penha de franca	-46,54199982	-23,51499939
225	sao paulo	nossa senhora da penha	rua padre benedito de camargo	762	3604000	penha de franca	-46,5481581	-23,5211496
226	sao paulo	antao padre	rua santo afonso	273	3632020	penha	-46,54816055	-23,52869034
227	sao paulo	adalgisa moreira pires professora	marciano capella	257	3669030	vila re	-46,4932785	-23,5309391
228	sao paulo	adelaide ferraz de oliveira profa	bento do sapucai sao	677	3542050	vila guilhermina	-46,51470184	-23,5326004
229	sao paulo	maria aparecida de castro masiero professora	pangaua	210	3665010	vila re	-46,49914169	-23,52988052
230	sao paulo	maria de carvalho senne professora	puquixa	SN	3656060	vila re	-46,50952911	-23,5250206
231	sao paulo	custodio jose de mello almirante	alicante	483	3654010	vila granada	-46,51802826	-23,52388763
232	sao paulo	barao de ramalho	amador bueno da veiga	604	3636000	penha de franca	-46,53905869	-23,52202988
233	sao paulo	astolfo araujo deputado	itaquera	2417	3526000	jardim maringa	-46,4978981	-23,55060005
234	sao paulo	maria augusta de avila profa	fernandes pereira	690	3565000	vila santa teresa zona leste	-46,49605179	-23,53862953
235	sao paulo	infante dom henrique	teodoro mascarenhas	133	3515010	vila matilde	-46,53110123	-23,54199982
236	sao paulo	jose pereira de queiroz dr	paranhos	264	3532020	vila nova savoia	-46,51509857	-23,5435009
237	sao paulo	afonso penna junior prof	muana	31	3525090	jardim maringa	-46,5143013	-23,55170059
238	sao paulo	souza queiroz barao de	gabriela mistral	520	3701010	penha de franca	-46,549811	-23,5165163
239	sao paulo	jose talarico	waldemar carlos pereira	452	3533000	vila talarico	-46,51845169	-23,54200935
240	sao paulo	exercito brasileiro	rebelo da silva	127	3685050	jardim sao nicolau	-46,47990036	-23,52630043
241	sao paulo	joao ramacciotti prof	joao dorival cardoso doutor	189	3694060	parque das paineiras	-46,48130035	-23,53700066
242	sao paulo	vital fogaca de almeida doutor	malacacheta	118	3713020	jardim jau zona leste	-46,54623032	-23,51160049
243	sao paulo	caetano miele professor	francisco damante	61	3731000	vila londrina	-46,5343188	-23,5091598
244	sao paulo	annita guastini eiras professora	ilha da figueira	151	3720040	vila paulistania	-46,5314673	-23,50218264
245	sao paulo	irene branco da silva professora	quarunas	352	3734220	vila rui barbosa	-46,52555847	-23,51226044
246	sao paulo	filomena matarazzo condessa	paranagua	472	3806000	ermelino matarazzo	-46,4765129	-23,501624
247	sao paulo	eunice laureano da silva professora	florindo antonio baratella	12	3804065	parque boturussu	-46,48260117	-23,49926949
248	sao paulo	valace marques professor	gentil braga	701	3737020	vila buenos aires	-46,51028061	-23,50753975
249	sao paulo	benedita de rezende professora	assis ribeiro doutor	8402	3827000	ermelino matarazzo	-46,48197937	-23,48570061
250	sao paulo	jose de carvalho padre	miguel sao	1888	3620001	vila marieta	-46,51218387	-23,51217672
251	sao paulo	republica do uruguai	antonio roberto de almeida	149	3726110	engenheiro goulart	-46,5202435	-23,5000847
252	sao paulo	thereza dorothea de arruda rego professora	conceicao do castelo	64	3681020	burgo paulista	-46,48823166	-23,5216198
253	sao paulo	silva prado deputado	luis antonio rantin moutinho engenheiro	296	3672010	jardim popular	-46,50326157	-23,51565933
254	sao paulo	marinha do brasil	ponte rasa	709	3896000	jardim ponte rasa	-46,4907472	-23,5106532
255	sao paulo	ermelino matarazzo	abel tavares	SN	3810110	jardim belem	-46,4701585	-23,4928277
256	sao paulo	miguel de cervantes y saavedra dom	candido mota	267	3759000	jardim penha	-46,49496078	-23,50522995
